FIPS,CTYNAME,Population
53001,Adams County,19983
53003,Asotin County,22582
53005,Benton County,204390
53007,Chelan County,77200
53009,Clallam County,77331
53011,Clark County,488241
53013,Columbia County,3985
53015,Cowlitz County,110593
53017,Douglas County,43429
53019,Ferry County,7627
53021,Franklin County,95222
53023,Garfield County,2225
53025,Grant County,97733
53027,Grays Harbor County,75061
53029,Island County,85141
53031,Jefferson County,32221
53033,King County,2252782
53035,Kitsap County,271473
53037,Kittitas County,47935
53039,Klickitat County,22425
53041,Lewis County,80707
53043,Lincoln County,10939
53045,Mason County,66768
53047,Okanogan County,42243
53049,Pacific County,22471
53051,Pend Oreille County,13724
53053,Pierce County,904980
53055,San Juan County,17582
53057,Skagit County,129205
53059,Skamania County,12083
53061,Snohomish County,822083
53063,Spokane County,522798
53065,Stevens County,45723
53067,Thurston County,290536
53069,Wahkiakum County,4488
53071,Walla Walla County,60760
53073,Whatcom County,229247
53075,Whitman County,50104
53077,Yakima County,250873
